Monito Expense Manager,,,,
Version 8.3,,,,
Created on 13/07/2026,,,,
,,,,
Date,Category type,Category name,Note,Amount
02/01/2021,Expense,Others,Electricity board,1718
02/01/2021,Expense,Home,Swiggy,2526
05/01/2021,Expense,Groceries,Swiggy,2380
05/01/2021,Expense,Credit card Bill payment,Flipkart,2466
07/01/2021,Expense,Credit card Bill payment,Local vendor,235
08/01/2021,Expense,Home,Local vendor,790
09/01/2021,Expense,Shopping,Flipkart,2109
11/01/2021,Expense,Food,,2584
11/01/2021,Expense,Entertainment,Local vendor,2012
14/01/2021,Expense,Entertainment,Swiggy,2580
16/01/2021,Expense,Rent,,2814
16/01/2021,Expense,Groceries,Zomato,304
18/01/2021,Expense,Credit card Bill payment,BigBasket,1563
18/01/2021,Expense,Groceries,Swiggy,434
21/01/2021,Expense,Groceries,Electricity board,2020
23/01/2021,Expense,Entertainment,Movie tickets,2035
22/01/2021,Expense,Clothing,Uber,459
23/01/2021,Expense,Entertainment,Movie tickets,141
25/01/2021,Expense,Travel,Movie tickets,1164
26/01/2021,Expense,Clothing,Ola,2559
27/01/2021,Expense,Food,Swiggy,265
29/01/2021,Expense,Home,,1737
31/01/2021,Income,Refund,,66088
31/01/2021,Expense,Groceries,,1081
03/02/2021,Expense,Credit card Bill payment,,257
05/02/2021,Expense,Groceries,Movie tickets,1125
06/02/2021,Expense,Home,Electricity board,253
07/02/2021,Expense,Rent,Ola,1825
09/02/2021,Expense,Entertainment,Uber,96
10/02/2021,Expense,Credit card Bill payment,Uber,2713
10/02/2021,Expense,Credit card Bill payment,Electricity board,2135
12/02/2021,Expense,Home,Local vendor,2798
12/02/2021,Income,Refund,,42024
15/02/2021,Expense,Rent,Zomato,2130
16/02/2021,Expense,Others,Flipkart,1897
18/02/2021,Expense,Clothing,Movie tickets,974
19/02/2021,Expense,Home,Swiggy,74
19/02/2021,Expense,Entertainment,,2100
20/02/2021,Expense,Food,BigBasket,281
23/02/2021,Expense,Home,Flipkart,119
23/02/2021,Expense,Others,Ola,979
25/02/2021,Expense,Others,Zomato,2543
28/02/2021,Expense,Credit card Bill payment,,2439
27/02/2021,Expense,Home,BigBasket,658
28/02/2021,Expense,Rent,Local vendor,1749
02/03/2021,Expense,Travel,Movie tickets,2501
03/03/2021,Expense,Travel,BigBasket,1801
05/03/2021,Expense,Credit card Bill payment,Swiggy,2094
08/03/2021,Expense,Groceries,Movie tickets,637
08/03/2021,Expense,Entertainment,Swiggy,2679
10/03/2021,Expense,Clothing,Amazon,2841
11/03/2021,Expense,Shopping,Ola,1885
11/03/2021,Expense,Shopping,Movie tickets,1333
12/03/2021,Expense,Rent,Uber,2078
16/03/2021,Expense,Shopping,,2888
17/03/2021,Expense,Home,Amazon,1953
18/03/2021,Expense,Clothing,Flipkart,1574
19/03/2021,Expense,Rent,Uber,871
19/03/2021,Expense,Home,,1158
20/03/2021,Expense,Groceries,Amazon,2942
22/03/2021,Expense,Credit card Bill payment,Flipkart,2362
25/03/2021,Expense,Clothing,Zomato,2330
26/03/2021,Expense,Clothing,Local vendor,2697
27/03/2021,Expense,Home,,1929
28/03/2021,Expense,Credit card Bill payment,Local vendor,1502
30/03/2021,Expense,Shopping,Amazon,1007
30/03/2021,Expense,Clothing,,1518
02/04/2021,Expense,Food,Local vendor,1265
01/04/2021,Expense,Credit card Bill payment,Electricity board,2937
03/04/2021,Expense,Rent,,1449
04/04/2021,Expense,Others,,1730
05/04/2021,Income,Salary,,51804
09/04/2021,Expense,Entertainment,Ola,2232
08/04/2021,Expense,Others,Zomato,1954
11/04/2021,Expense,Credit card Bill payment,Local vendor,1205
11/04/2021,Expense,Clothing,Movie tickets,1514
12/04/2021,Expense,Clothing,,2810
15/04/2021,Expense,Rent,Electricity board,677
16/04/2021,Income,Salary,,63657
17/04/2021,Expense,Others,,786
18/04/2021,Expense,Rent,,89
21/04/2021,Expense,Entertainment,Movie tickets,2540
20/04/2021,Expense,Entertainment,BigBasket,1193
21/04/2021,Expense,Shopping,Zomato,747
23/04/2021,Expense,Groceries,,2898
24/04/2021,Expense,Groceries,Uber,2224
27/04/2021,Expense,Others,Swiggy,1060
27/04/2021,Expense,Groceries,Local vendor,585
28/04/2021,Expense,Home,Zomato,1039
01/05/2021,Expense,Shopping,,2121
02/05/2021,Expense,Credit card Bill payment,Flipkart,2147
04/05/2021,Expense,Food,BigBasket,1953
05/05/2021,Expense,Others,Ola,2386
06/05/2021,Expense,Entertainment,BigBasket,180
06/05/2021,Expense,Travel,Flipkart,1516
08/05/2021,Expense,Credit card Bill payment,BigBasket,155
10/05/2021,Expense,Food,,1581
11/05/2021,Expense,Others,Ola,1943
13/05/2021,Expense,Groceries,Electricity board,1305
14/05/2021,Expense,Clothing,Movie tickets,1005
16/05/2021,Expense,Home,,588
16/05/2021,Expense,Groceries,Ola,474
19/05/2021,Expense,Travel,Uber,1690
19/05/2021,Expense,Entertainment,BigBasket,749
22/05/2021,Expense,Rent,Electricity board,107
21/05/2021,Expense,Travel,Zomato,2371
23/05/2021,Expense,Clothing,BigBasket,1843
26/05/2021,Expense,Others,,975
26/05/2021,Income,Refund,,34734
28/05/2021,Expense,Travel,Zomato,2221
30/05/2021,Expense,Food,Electricity board,572
29/05/2021,Expense,Entertainment,Ola,254
01/06/2021,Expense,Others,Movie tickets,2999
01/06/2021,Expense,Clothing,Uber,168
03/06/2021,Expense,Groceries,Ola,454
04/06/2021,Expense,Credit card Bill payment,Zomato,1900
07/06/2021,Income,Refund,,65083
06/06/2021,Income,Refund,,61656
08/06/2021,Expense,Travel,,2627
09/06/2021,Expense,Groceries,,2957
12/06/2021,Expense,Travel,Electricity board,2185
11/06/2021,Expense,Home,Uber,2348
13/06/2021,Expense,Credit card Bill payment,Amazon,131
16/06/2021,Expense,Entertainment,,262
16/06/2021,Expense,Travel,Ola,1926
18/06/2021,Expense,Shopping,Electricity board,1459
19/06/2021,Income,Salary,,62410
19/06/2021,Expense,Home,Swiggy,137
22/06/2021,Expense,Entertainment,BigBasket,1619
23/06/2021,Expense,Rent,Uber,2531
25/06/2021,Expense,Travel,Swiggy,169
27/06/2021,Expense,Entertainment,BigBasket,1002
28/06/2021,Expense,Others,Amazon,434
28/06/2021,Expense,Food,,1728
01/07/2021,Expense,Food,Amazon,2697
30/06/2021,Expense,Travel,Local vendor,1949
03/07/2021,Expense,Home,Swiggy,2516
05/07/2021,Expense,Travel,BigBasket,2023
05/07/2021,Expense,Clothing,Flipkart,2612
06/07/2021,Expense,Rent,Local vendor,3021
09/07/2021,Expense,Others,,356
10/07/2021,Expense,Credit card Bill payment,Electricity board,2335
11/07/2021,Expense,Credit card Bill payment,Zomato,516
13/07/2021,Expense,Shopping,Flipkart,2071
12/07/2021,Expense,Food,Flipkart,105
15/07/2021,Expense,Groceries,Uber,120
15/07/2021,Expense,Credit card Bill payment,Zomato,2279
16/07/2021,Expense,Food,Zomato,1344
19/07/2021,Income,Refund,,61179
20/07/2021,Expense,Shopping,Uber,1913
20/07/2021,Expense,Travel,BigBasket,1890
21/07/2021,Expense,Groceries,Zomato,2934
25/07/2021,Expense,Travel,Electricity board,1716
26/07/2021,Expense,Entertainment,Amazon,1010
26/07/2021,Expense,Groceries,Uber,2385
29/07/2021,Expense,Groceries,Amazon,2328
28/07/2021,Expense,Shopping,Swiggy,535
31/07/2021,Expense,Rent,,2355
31/07/2021,Expense,Home,,1580
01/08/2021,Expense,Shopping,Zomato,2307
03/08/2021,Expense,Groceries,Ola,2997
05/08/2021,Expense,Others,Electricity board,603
05/08/2021,Expense,Food,,1473
07/08/2021,Expense,Credit card Bill payment,Swiggy,862
08/08/2021,Expense,Shopping,Movie tickets,1161
10/08/2021,Expense,Entertainment,Ola,2945
10/08/2021,Expense,Credit card Bill payment,,2179
12/08/2021,Expense,Travel,Ola,2933
14/08/2021,Expense,Shopping,,1236
15/08/2021,Expense,Entertainment,Movie tickets,3011
16/08/2021,Expense,Others,Swiggy,1954
19/08/2021,Expense,Food,Swiggy,2213
19/08/2021,Expense,Others,Flipkart,2234
20/08/2021,Expense,Shopping,Local vendor,2094
22/08/2021,Expense,Shopping,Zomato,2064
24/08/2021,Expense,Clothing,Uber,1013
26/08/2021,Expense,Food,Ola,2797
27/08/2021,Expense,Travel,Ola,2107
27/08/2021,Expense,Clothing,,1058
29/08/2021,Income,Refund,,62028
31/08/2021,Expense,Shopping,Uber,234
01/09/2021,Expense,Travel,BigBasket,1636
03/09/2021,Expense,Credit card Bill payment,Movie tickets,1975
02/09/2021,Expense,Shopping,Ola,2961
05/09/2021,Income,Refund,,50532
07/09/2021,Expense,Rent,Zomato,2942
06/09/2021,Expense,Entertainment,Ola,565
08/09/2021,Expense,Home,BigBasket,2037
10/09/2021,Expense,Credit card Bill payment,Electricity board,755
10/09/2021,Expense,Credit card Bill payment,Uber,831
13/09/2021,Expense,Clothing,Amazon,738
15/09/2021,Expense,Travel,Zomato,178
15/09/2021,Expense,Home,,1101
16/09/2021,Expense,Travel,Local vendor,391
17/09/2021,Expense,Travel,,2962
18/09/2021,Expense,Home,Zomato,447
21/09/2021,Expense,Credit card Bill payment,Uber,1020
21/09/2021,Income,Salary,,35123
24/09/2021,Expense,Food,Flipkart,1253
26/09/2021,Expense,Credit card Bill payment,,1237
26/09/2021,Expense,Food,Flipkart,2308
26/09/2021,Expense,Groceries,BigBasket,73
28/09/2021,Expense,Rent,Swiggy,1123
01/10/2021,Expense,Others,BigBasket,2097
01/10/2021,Expense,Travel,Electricity board,677
03/10/2021,Expense,Food,Flipkart,2066
05/10/2021,Expense,Others,Movie tickets,1959
04/10/2021,Expense,Others,BigBasket,1795
06/10/2021,Expense,Home,Zomato,354
09/10/2021,Income,Refund,,31902
09/10/2021,Expense,Rent,Flipkart,1031
12/10/2021,Expense,Others,Amazon,2071
13/10/2021,Expense,Others,BigBasket,2574
14/10/2021,Expense,Food,Uber,1710
16/10/2021,Expense,Credit card Bill payment,Swiggy,792
17/10/2021,Expense,Travel,Movie tickets,2061
16/10/2021,Expense,Entertainment,,1718
20/10/2021,Expense,Groceries,BigBasket,2709
21/10/2021,Expense,Clothing,Amazon,2751
20/10/2021,Expense,Groceries,,630
24/10/2021,Expense,Home,Amazon,2447
23/10/2021,Expense,Rent,Zomato,661
26/10/2021,Expense,Travel,Local vendor,2143
28/10/2021,Expense,Entertainment,Flipkart,1585
28/10/2021,Expense,Credit card Bill payment,Zomato,608
30/10/2021,Expense,Travel,,2514
01/11/2021,Expense,Groceries,,2560
01/11/2021,Expense,Shopping,Amazon,2140
02/11/2021,Expense,Credit card Bill payment,Uber,2361
05/11/2021,Expense,Home,Amazon,1607
05/11/2021,Income,Refund,,50824
07/11/2021,Expense,Others,Uber,2758
08/11/2021,Expense,Rent,Uber,259
10/11/2021,Expense,Rent,,1752
11/11/2021,Expense,Shopping,Flipkart,2184
12/11/2021,Income,Refund,,59583
12/11/2021,Expense,Entertainment,,918
14/11/2021,Expense,Shopping,Flipkart,2781
17/11/2021,Expense,Rent,,564
18/11/2021,Expense,Clothing,,934
18/11/2021,Expense,Entertainment,Electricity board,1996
20/11/2021,Expense,Credit card Bill payment,Movie tickets,2568
22/11/2021,Expense,Travel,,2310
22/11/2021,Expense,Groceries,Ola,1268
24/11/2021,Expense,Clothing,Ola,311
24/11/2021,Expense,Entertainment,Movie tickets,2411
27/11/2021,Expense,Others,Uber,2877
28/11/2021,Expense,Food,Electricity board,1336
29/11/2021,Expense,Travel,Amazon,1461
30/11/2021,Expense,Others,Electricity board,2519
03/12/2021,Expense,Travel,Electricity board,193
03/12/2021,Expense,Others,Movie tickets,156
04/12/2021,Expense,Home,Local vendor,648
06/12/2021,Expense,Clothing,,1580
08/12/2021,Expense,Rent,Amazon,851
10/12/2021,Expense,Rent,,1617
09/12/2021,Expense,Rent,Electricity board,1612
12/12/2021,Expense,Travel,,394
13/12/2021,Expense,Others,Swiggy,1057
14/12/2021,Expense,Others,Zomato,2933
14/12/2021,Expense,Groceries,Electricity board,1153
16/12/2021,Expense,Others,BigBasket,1270
17/12/2021,Expense,Home,Zomato,1494
18/12/2021,Expense,Clothing,,2999
22/12/2021,Expense,Food,Ola,2544
21/12/2021,Expense,Groceries,Ola,2512
22/12/2021,Income,Salary,,41402
24/12/2021,Expense,Entertainment,Zomato,641
25/12/2021,Expense,Credit card Bill payment,,2848
27/12/2021,Expense,Home,,3012
30/12/2021,Income,Refund,,49444
30/12/2021,Expense,Groceries,Zomato,2798
01/01/2022,Expense,Entertainment,Amazon,1399
03/01/2022,Expense,Shopping,Amazon,247
03/01/2022,Expense,Rent,Flipkart,73
03/01/2022,Expense,Home,Flipkart,1886
07/01/2022,Expense,Groceries,,950
08/01/2022,Expense,Entertainment,Swiggy,2901
08/01/2022,Expense,Travel,Ola,1169
10/01/2022,Expense,Travel,BigBasket,754
12/01/2022,Expense,Travel,,372
12/01/2022,Expense,Travel,Movie tickets,1812
15/01/2022,Expense,Entertainment,,948
16/01/2022,Expense,Home,Swiggy,3012
17/01/2022,Expense,Home,Flipkart,1985
18/01/2022,Expense,Shopping,Movie tickets,2701
20/01/2022,Expense,Others,Local vendor,3002
21/01/2022,Expense,Groceries,Local vendor,1708
23/01/2022,Expense,Clothing,Local vendor,551
23/01/2022,Expense,Food,Ola,2660
25/01/2022,Expense,Clothing,Local vendor,2889
27/01/2022,Income,Refund,,35998
28/01/2022,Expense,Shopping,,1258
27/01/2022,Expense,Home,Local vendor,2844
30/01/2022,Expense,Travel,Uber,2156
31/01/2022,Expense,Travel,Flipkart,1164
31/01/2022,Expense,Groceries,Local vendor,2457
03/02/2022,Expense,Others,Uber,1216
05/02/2022,Expense,Travel,Electricity board,1328
